phase	closure	length	base	width	repeat	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256
subject	build-qwen-cuda-8680bc95e989	530	512	18	1	530	29.501	32	120.543	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	531	512	19	1	531	32.362	32	124.058	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	532	512	20	1	532	28.808	32	124.015	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1041	1024	17	1	1041	54.724	32	121.912	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1042	1024	18	1	1042	49.337	32	125.227	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1043	1024	19	1	1043	50.722	32	125.25	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1044	1024	20	1	1044	53.99	32	122.849	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2065	2048	17	1	2065	91.253	32	123.24	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2066	2048	18	1	2066	93.978	32	123.625	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2067	2048	19	1	2067	90.438	32	122.226	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2068	2048	20	1	2068	93.85	32	121.677	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	17	0	17	2	17	8.079	32	130.217	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	18	0	18	2	18	7.19	32	117.026	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	19	0	19	2	19	6.988	32	114.565	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	20	0	20	2	20	8.321	32	119.892	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
