graph_index	t_ns	mode	n_nodes	op	path	detail	src0_name	dst_name	src0_type	src1_type	dst_type	ne00	ne01	ne02	ne03	ne10	ne11	ne12	ne13	nb01	nb02	nb03	nb11	nb12	nb13	src0_contiguous	src1_contiguous	src0_transposed	batch_count	launches
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.5.attn_qkv.weight	node_316	q4_K	f32	f32	4096	8192	1	1	4096	512	1	1	2304	18874368	18874368	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.5.ffn_down.weight	ffn_out-5	q4_K	f32	f32	12288	4096	1	1	12288	512	1	1	6912	28311552	28311552	49152	25165824	25165824	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.5.ffn_gate.weight	ffn_gate-5	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.5.ffn_up.weight	ffn_up-5	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.5.ssm_alpha.weight	node_337	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.5.ssm_beta.weight	node_343	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.5.ssm_out.weight	linear_attn_out-5	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.6.attn_gate.weight	z-6	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.6.attn_qkv.weight	node_379	q6_K	f32	f32	4096	8192	1	1	4096	512	1	1	3360	27525120	27525120	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.6.ffn_down.weight	ffn_out-6	q6_K	f32	f32	12288	4096	1	1	12288	512	1	1	10080	41287680	41287680	49152	25165824	25165824	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.6.ffn_gate.weight	ffn_gate-6	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.6.ffn_up.weight	ffn_up-6	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.6.ssm_alpha.weight	node_400	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.6.ssm_beta.weight	node_406	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.6.ssm_out.weight	linear_attn_out-6	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.7.attn_k.weight	Kcur-7	q4_K	f32	f32	4096	1024	1	1	4096	512	1	1	2304	2359296	2359296	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.7.attn_output.weight	attn_output-7	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.7.attn_q.weight	Qcur_full-7	q4_K	f32	f32	4096	8192	1	1	4096	512	1	1	2304	18874368	18874368	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.7.attn_v.weight	Vcur-7	q4_K	f32	f32	4096	1024	1	1	4096	512	1	1	2304	2359296	2359296	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.7.ffn_down.weight	ffn_out-7	q4_K	f32	f32	12288	4096	1	1	12288	512	1	1	6912	28311552	28311552	49152	25165824	25165824	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.7.ffn_gate.weight	ffn_gate-7	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.7.ffn_up.weight	ffn_up-7	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.8.attn_gate.weight	z-8	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.8.attn_qkv.weight	node_493	q4_K	f32	f32	4096	8192	1	1	4096	512	1	1	2304	18874368	18874368	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.8.ffn_down.weight	ffn_out-8	q4_K	f32	f32	12288	4096	1	1	12288	512	1	1	6912	28311552	28311552	49152	25165824	25165824	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.8.ffn_gate.weight	ffn_gate-8	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.8.ffn_up.weight	ffn_up-8	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.8.ssm_alpha.weight	node_514	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.8.ssm_beta.weight	node_520	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.8.ssm_out.weight	linear_attn_out-8	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.9.attn_gate.weight	z-9	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.9.attn_qkv.weight	node_556	q6_K	f32	f32	4096	8192	1	1	4096	512	1	1	3360	27525120	27525120	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.9.ffn_down.weight	ffn_out-9	q6_K	f32	f32	12288	4096	1	1	12288	512	1	1	10080	41287680	41287680	49152	25165824	25165824	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.9.ffn_gate.weight	ffn_gate-9	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.9.ffn_up.weight	ffn_up-9	q4_K	f32	f32	4096	12288	1	1	4096	512	1	1	2304	28311552	28311552	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.9.ssm_alpha.weight	node_577	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.9.ssm_beta.weight	node_583	q4_K	f32	f32	4096	32	1	1	4096	512	1	1	2304	73728	73728	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMQ	-	blk.9.ssm_out.weight	linear_attn_out-9	q4_K	f32	f32	4096	4096	1	1	4096	512	1	1	2304	9437184	9437184	16384	8388608	8388608	1	1	0	1	1
1	1788292053500943910	eager	1927	MUL_MAT	MMVQ	-	output.weight	result_output	q6_K	f32	f32	4096	248320	1	1	4096	1	1	1	3360	834355200	834355200	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.0.attn_gate.weight	z-0	q4_K	f32	f32	4096	4096	1	1	4096	1	1	1	2304	9437184	9437184	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.0.attn_qkv.weight	node_13	q6_K	f32	f32	4096	8192	1	1	4096	1	1	1	3360	27525120	27525120	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.0.ssm_alpha.weight	node_34	q4_K	f32	f32	4096	32	1	1	4096	1	1	1	2304	73728	73728	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.0.ssm_beta.weight	node_40	q4_K	f32	f32	4096	32	1	1	4096	1	1	1	2304	73728	73728	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.0.ssm_out.weight	linear_attn_out-0	q4_K	f32	f32	4096	4096	1	1	4096	1	1	1	2304	9437184	9437184	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.1.attn_gate.weight	z-1	q4_K	f32	f32	4096	4096	1	1	4096	1	1	1	2304	9437184	9437184	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.1.attn_qkv.weight	node_76	q6_K	f32	f32	4096	8192	1	1	4096	1	1	1	3360	27525120	27525120	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.1.ssm_alpha.weight	node_97	q4_K	f32	f32	4096	32	1	1	4096	1	1	1	2304	73728	73728	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.1.ssm_beta.weight	node_103	q4_K	f32	f32	4096	32	1	1	4096	1	1	1	2304	73728	73728	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.1.ssm_out.weight	linear_attn_out-1	q4_K	f32	f32	4096	4096	1	1	4096	1	1	1	2304	9437184	9437184	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.10.attn_gate.weight	z-10	q4_K	f32	f32	4096	4096	1	1	4096	1	1	1	2304	9437184	9437184	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.10.attn_qkv.weight	node_619	q4_K	f32	f32	4096	8192	1	1	4096	1	1	1	2304	18874368	18874368	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.10.ssm_alpha.weight	node_640	q4_K	f32	f32	4096	32	1	1	4096	1	1	1	2304	73728	73728	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.10.ssm_beta.weight	node_646	q4_K	f32	f32	4096	32	1	1	4096	1	1	1	2304	73728	73728	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.10.ssm_out.weight	linear_attn_out-10	q4_K	f32	f32	4096	4096	1	1	4096	1	1	1	2304	9437184	9437184	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.11.attn_k.weight	Kcur-11	q4_K	f32	f32	4096	1024	1	1	4096	1	1	1	2304	2359296	2359296	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.11.attn_q.weight	Qcur_full-11	q4_K	f32	f32	4096	8192	1	1	4096	1	1	1	2304	18874368	18874368	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.11.attn_v.weight	Vcur-11	q4_K	f32	f32	4096	1024	1	1	4096	1	1	1	2304	2359296	2359296	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.12.attn_gate.weight	z-12	q4_K	f32	f32	4096	4096	1	1	4096	1	1	1	2304	9437184	9437184	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.12.attn_qkv.weight	node_733	q6_K	f32	f32	4096	8192	1	1	4096	1	1	1	3360	27525120	27525120	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.12.ssm_alpha.weight	node_754	q4_K	f32	f32	4096	32	1	1	4096	1	1	1	2304	73728	73728	16384	16384	16384	1	1	0	1	1
2	1788292053634973512	eager	1927	MUL_MAT	MMVQ	-	blk.12.ssm_beta.weight	node_760	q4_K	f32	f32	4096	32	1	1	4096	1	1	1	2304	73728	73728	16384	16384	16384	1	1	0	1	1
