monitor_start_utc=2026-09-20T21:38:49Z server_pid=3950021 sample_seconds=1 profile=default latency_watchdog_pid=0 kernel_hazard_watchdog_pid=3950811 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 swapin_headroom_mem_available_kib=6291456 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-20T21:39:23Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8040948 swapin_bytes=1892352 max_temp_millicelsius=77750 gpu_busy_percent=100 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:24Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8039724 swapin_bytes=5562368 max_temp_millicelsius=77750 gpu_busy_percent=95 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:25Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8023944 swapin_bytes=15089664 max_temp_millicelsius=77625 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:26Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8028168 swapin_bytes=3751936 max_temp_millicelsius=77625 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:27Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8046708 swapin_bytes=3784704 max_temp_millicelsius=78750 gpu_busy_percent=99 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:28Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8057764 swapin_bytes=368640 max_temp_millicelsius=77875 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:29Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8048072 swapin_bytes=98304 max_temp_millicelsius=77750 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:30Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8046972 swapin_bytes=1708032 max_temp_millicelsius=77750 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:31Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8048264 swapin_bytes=122880 max_temp_millicelsius=77625 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:32Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8054188 swapin_bytes=253952 max_temp_millicelsius=78000 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:34Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8051224 swapin_bytes=524288 max_temp_millicelsius=77500 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:35Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8047444 swapin_bytes=319488 max_temp_millicelsius=77500 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:36Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8045536 swapin_bytes=102400 max_temp_millicelsius=78000 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:37Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8051892 swapin_bytes=356352 max_temp_millicelsius=77625 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:38Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8047304 swapin_bytes=106496 max_temp_millicelsius=77625 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:39Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8040588 swapin_bytes=204800 max_temp_millicelsius=78000 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:40Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8038264 swapin_bytes=753664 max_temp_millicelsius=77500 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:41Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8036256 swapin_bytes=458752 max_temp_millicelsius=77500 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:42Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8034576 swapin_bytes=2199552 max_temp_millicelsius=77625 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5804916736 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:43Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8035920 swapin_bytes=417792 max_temp_millicelsius=79000 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5804916736 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:45Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8033236 swapin_bytes=77824 max_temp_millicelsius=78000 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5799673856 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:46Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8033264 swapin_bytes=131072 max_temp_millicelsius=78000 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5799673856 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:47Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=7991432 swapin_bytes=131895296 max_temp_millicelsius=78125 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
swapin_report_utc=2026-09-20T21:39:47Z swapin_bytes=131895296 threshold_bytes=67108864 mem_available_kib=7991432 headroom_kib=6291456 action=observe
sample_utc=2026-09-20T21:39:48Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=7957012 swapin_bytes=16384 max_temp_millicelsius=78250 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
monitor_stop_utc=2026-09-20T21:39:49Z reason=server_exited
