graph_ordinal	t_begin_ns	key	key_ordinal	topology_digest	pointer_digest	n_nodes	n_tokens	n_outputs	n_kv	n_rs	enabled	compatible	properties_changed	change_reason	change_node	change_op	change_name	change_categories	warmup_before	warmup_after	action	executable	host_us	device_ms
1295	1788562128670046046	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	3.7166
1296	1788562128674548934	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	465	3.7236
1297	1788562128679055458	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7380
1298	1788562128683580737	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	465	3.7115
1299	1788562128688076732	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	3.7489
1300	1788562128692619103	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7443
1301	1788562128697146537	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7235
1302	1788562128701663891	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	484	3.7395
1303	1788562129212737521	0x7f7af08c93b0	1	5e879b663492f411	08e88e7ade74d8a2	1459	4	1	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	1	0	direct	none	2611	4.6826
1304	1788562129218745632	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	2235	4.1899
1305	1788562129223737056	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	0	1	capture	update	1685	4.9364
1306	1788562129229473438	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	477	3.7320
1307	1788562129233996633	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	476	3.7367
1308	1788562129238530699	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7109
1309	1788562129243039468	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	474	3.7361
1310	1788562129247567853	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	3.7288
1311	1788562129252094946	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	500	3.7203
1312	1788562129256638179	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	3.7612
1313	1788562129261190960	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	474	3.7193
1314	1788562129265703826	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	3.7407
1315	1788562129270232021	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	475	3.7524
1316	1788562129274780875	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	3.7156
1317	1788562129279289433	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	475	3.7261
1318	1788562129283810254	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7485
1319	1788562129288355982	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7244
1320	1788562129292876412	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	3.7216
1321	1788562129297384990	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	3.7525
1322	1788562129301931630	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	480	3.7153
1323	1788562129306448383	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	3.7556
1324	1788562129311000794	0x7f7af08c93b0	1	0fdbf3977c990123	d545d947533e5583	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	474	3.7330
