phase	closure	length	base	width	repeat	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256
subject	build-qwen-cuda-137b2a23a42c	2067	2048	19	2	2067	140.634	32	160.456	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2068	2048	20	2	2068	138.557	32	161.024	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	531	512	19	3	531	45.447	32	164.279	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	532	512	20	3	532	46.215	32	161.914	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1043	1024	19	3	1043	77.063	32	160.458	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1044	1024	20	3	1044	78.773	32	160.988	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2067	2048	19	3	2067	148.756	32	159.379	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2068	2048	20	3	2068	145.1	32	162.383	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	531	512	19	4	531	43.143	32	168.594	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	532	512	20	4	532	46.016	32	167.188	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1043	1024	19	4	1043	73.255	32	153.275	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1044	1024	20	4	1044	77.291	32	157.092	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2067	2048	19	4	2067	138.943	32	157.266	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2068	2048	20	4	2068	139.07	32	161.584	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	531	512	19	5	531	43.777	32	164.353	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	532	512	20	5	532	44.64	32	162.052	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1043	1024	19	5	1043	75.879	32	157.523	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1044	1024	20	5	1044	73.997	32	161.333	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2067	2048	19	5	2067	139.112	32	162.107	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2068	2048	20	5	2068	139.357	32	166.564	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	1	531	60.047	32	169.993	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	1	532	45.82	32	161.685	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	1	1043	81.51	32	169.499	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	1	1044	74.615	32	159.618	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	1	2067	137.763	32	160.007	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	1	2068	143.279	32	160.501	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	2	531	42.911	32	157.075	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	2	532	42.222	32	159.416	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	2	1043	80.139	32	185.082	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	2	1044	76.408	32	165.118	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	2	2067	146.307	32	169.147	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	2	2068	143.626	32	166.146	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	3	531	45.03	32	168.088	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	3	532	44.301	32	164.689	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	3	1043	75.256	32	157.168	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	3	1044	75.961	32	161.966	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	3	2067	140.346	32	160.997	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	3	2068	137.929	32	157.071	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	4	531	43.756	32	160.722	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	4	532	42.654	32	163.535	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	4	1043	75.741	32	164.015	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	4	1044	77.603	32	163.898	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	4	2067	138.784	32	158.009	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	4	2068	141.855	32	164.256	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	5	531	43.135	32	166.677	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	5	532	45.486	32	165.78	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	5	1043	75.91	32	166.276	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	5	1044	75.918	32	173.055	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	5	2067	149.681	32	168.696	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	5	2068	138.697	32	159.76	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
