phase	closure	length	base	width	repeat	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256
opening-control	build-appliance-current	1043	1024	19	3	1043	48.907	32	115.092	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	3	1044	50.443	32	115.947	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	3	2067	95.765	32	113.961	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	3	2068	91.931	32	115.817	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	4	531	28.548	32	117.623	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	4	532	30.228	32	110.243	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	4	1043	49.1	32	108.749	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	4	1044	46.989	32	109.195	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	4	2067	89.427	32	112.06	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	4	2068	89.413	32	108.783	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	5	531	27.184	32	112.638	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	5	532	28.049	32	108.278	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	5	1043	48.336	32	108.498	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	5	1044	47.978	32	111.581	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	5	2067	89.296	32	109.471	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	5	2068	89.1	32	112.211	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	531	512	19	1	531	40.875	32	131.81	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	532	512	20	1	532	38.552	32	123.973	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1043	1024	19	1	1043	52.51	32	130.825	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1044	1024	20	1	1044	49.113	32	120.154	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2067	2048	19	1	2067	91.204	32	118.949	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2068	2048	20	1	2068	92.867	32	113.403	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	531	512	19	2	531	31.286	32	123.805	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	532	512	20	2	532	32.781	32	113.969	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1043	1024	19	2	1043	49.191	32	115.583	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1044	1024	20	2	1044	47.654	32	110.414	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2067	2048	19	2	2067	92.981	32	110.449	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2068	2048	20	2	2068	94.544	32	112.867	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	531	512	19	3	531	31.664	32	120.136	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	532	512	20	3	532	27.517	32	115.65	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1043	1024	19	3	1043	47.898	32	114.037	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1044	1024	20	3	1044	48.046	32	114.101	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2067	2048	19	3	2067	89.714	32	111.403	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2068	2048	20	3	2068	90.838	32	117.202	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	531	512	19	4	531	27.448	32	110.206	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	532	512	20	4	532	33.294	32	110.74	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1043	1024	19	4	1043	50.017	32	114.325	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1044	1024	20	4	1044	49.696	32	116.649	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2067	2048	19	4	2067	91.514	32	116.885	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2068	2048	20	4	2068	92.567	32	117.641	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	531	512	19	5	531	30.879	32	118.819	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	532	512	20	5	532	28.741	32	110.033	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1043	1024	19	5	1043	51.531	32	108.985	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	1044	1024	20	5	1044	49.585	32	111.007	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2067	2048	19	5	2067	89.291	32	107.919	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-137b2a23a42c	2068	2048	20	5	2068	90.731	32	110.085	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	1	531	34.033	32	116.575	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	1	532	27.74	32	108.035	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	1	1043	47.606	32	108.429	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	1	1044	51.809	32	111.663	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	1	2067	90.807	32	109.644	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	1	2068	95.534	32	109.563	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	2	531	29.191	32	112.638	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	2	532	27.618	32	116.816	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	2	1043	49.875	32	113.162	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	2	1044	54.307	32	114.426	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	2	2067	91.858	32	115.876	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	2	2068	97.588	32	116.52	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	3	531	32.532	32	112.117	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	3	532	28.844	32	111.134	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	3	1043	48.099	32	108.819	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	3	1044	47.701	32	110.001	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	3	2067	88.61	32	111.68	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	3	2068	88.391	32	109.689	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	4	531	27.882	32	109.744	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	4	532	27.572	32	112.254	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	4	1043	47.859	32	110.704	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	4	1044	46.768	32	108.736	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	4	2067	87.664	32	113.107	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	4	2068	88.33	32	111.721	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	531	512	19	5	531	27.387	32	107.351	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	532	512	20	5	532	27.348	32	112.191	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1043	1024	19	5	1043	47.633	32	111.465	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	1044	1024	20	5	1044	48.008	32	113.543	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2067	2048	19	5	2067	88.78	32	115.556	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
closing-control	build-appliance-current	2068	2048	20	5	2068	89.894	32	116.716	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
