level	repeat	request	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
11	1	3	468	128	81.156	1071.827	1.174302
11	1	4	468	128	81.437	1071.680	1.174302
11	1	5	468	128	88.133	990.290	1.174302
11	1	6	468	128	80.587	1072.127	1.174302
11	1	7	468	128	87.491	990.816	1.174302
11	1	8	468	128	52.556	942.652	1.174302
11	1	9	468	128	139.950	943.625	1.174302
11	1	10	468	128	51.950	943.130	1.174302
11	2	0	468	128	168.174	986.005	1.169520
11	2	1	468	128	81.915	1065.310	1.169520
11	2	2	468	128	81.045	1066.047	1.169520
11	2	3	468	128	80.379	1066.441	1.169520
11	2	4	468	128	87.023	985.481	1.169520
11	2	5	468	128	87.606	985.000	1.169520
11	2	6	468	128	80.714	1066.251	1.169520
11	2	7	468	128	52.182	937.957	1.169520
11	2	8	468	128	139.053	938.837	1.169520
11	2	9	468	128	88.216	984.512	1.169520
11	2	10	468	128	51.587	938.383	1.169520
11	3	0	468	128	81.016	1068.643	1.171907
11	3	1	468	128	168.527	988.097	1.171907
11	3	2	468	128	81.635	1068.145	1.171907
11	3	3	468	128	80.746	1068.791	1.171907
11	3	4	468	128	88.371	986.984	1.171907
11	3	5	468	128	80.481	1068.902	1.171907
11	3	6	468	128	87.700	987.543	1.171907
11	3	7	468	128	89.084	986.387	1.171907
11	3	8	468	128	51.983	939.742	1.171907
11	3	9	468	128	140.232	940.316	1.171907
11	3	10	468	128	52.742	939.092	1.171907
11	4	0	468	128	168.267	985.284	1.168396
11	4	1	468	128	80.899	1065.325	1.168396
11	4	2	468	128	87.030	984.706	1.168396
11	4	3	468	128	82.079	1064.510	1.168396
11	4	4	468	128	81.390	1065.072	1.168396
11	4	5	468	128	87.737	984.116	1.168396
11	4	6	468	128	81.130	1065.214	1.168396
11	4	7	468	128	139.317	937.719	1.168396
11	4	8	468	128	88.445	983.532	1.168396
11	4	9	468	128	51.678	937.195	1.168396
11	4	10	468	128	52.397	936.620	1.168396
