utc	fb_used_mib	bar1_used_mib
2026-08-30T05:17:41Z	1438	1452
2026-08-30T05:17:41Z	1488	1677
2026-08-30T05:17:42Z	1662	1677
2026-08-30T05:17:42Z	1656	1671
2026-08-30T05:17:42Z	1656	1671
2026-08-30T05:17:42Z	1656	1671
2026-08-30T05:17:43Z	1656	1671
2026-08-30T05:17:43Z	1656	1671
2026-08-30T05:17:43Z	1656	1671
2026-08-30T05:17:43Z	1656	1671
2026-08-30T05:17:44Z	1656	1671
2026-08-30T05:17:44Z	1656	1671
2026-08-30T05:17:44Z	1656	1671
2026-08-30T05:17:44Z	1656	1671
2026-08-30T05:17:45Z	1656	1671
2026-08-30T05:17:45Z	1656	1671
2026-08-30T05:17:45Z	1656	1671
2026-08-30T05:17:45Z	1656	1671
2026-08-30T05:17:46Z	1656	1671
2026-08-30T05:17:46Z	1656	1671
2026-08-30T05:17:46Z	1656	1671
2026-08-30T05:17:46Z	1656	1671
2026-08-30T05:17:46Z	4302	4317
2026-08-30T05:17:47Z	4302	4317
2026-08-30T05:17:47Z	4820	5047
2026-08-30T05:17:47Z	5268	5287
2026-08-30T05:17:47Z	1684	1699
2026-08-30T05:17:48Z	1684	1699
2026-08-30T05:17:48Z	1684	1699
2026-08-30T05:17:48Z	1665	1679
2026-08-30T05:17:48Z	1438	1452
2026-08-30T05:17:49Z	1662	1677
2026-08-30T05:17:49Z	1662	1677
2026-08-30T05:17:49Z	1662	1677
2026-08-30T05:17:49Z	1662	1677
2026-08-30T05:17:50Z	1662	1677
2026-08-30T05:17:50Z	1662	1677
2026-08-30T05:17:50Z	1662	1677
2026-08-30T05:17:50Z	2904	2919
2026-08-30T05:17:51Z	3500	3515
2026-08-30T05:17:51Z	3722	3737
